VODKA 80 PROOF,1265974
American Vodkas,1022097
CANADIAN WHISKIES,936212
Canadian Whiskies,676817
STRAIGHT BOURBON WHISKIES,543684
SPICED RUM,530323
VODKA FLAVORED,502813
BLENDED WHISKIES,441610
TEQUILA,435298
Straight Bourbon Whiskies,422275
IMPORTED VODKA,404048
PUERTO RICO & VIRGIN ISLANDS RUM,395376
American Flavored Vodka,348293
Spiced Rum,346456
WHISKEY LIQUEUR,334572
Whiskey Liqueur,314392
AMERICAN COCKTAILS,284695
Blended Whiskies,282835
FLAVORED RUM,278367
AMERICAN DRY GINS,256386
IMPORTED VODKA - MISC,256241
Imported Vodkas,248807
MISC. IMPORTED CORDIALS & LIQUEURS,246088
TENNESSEE WHISKIES,245162
AMERICAN GRAPE BRANDIES,243144
American Brandies,235113
CREAM LIQUEURS,232844
American Schnapps,224831
SCOTCH WHISKIES,199770
Tennessee Whiskies,182479
100% Agave Tequila,178173
Cocktails /RTD,175755
Flavored Rum,174941
White Rum,172457
IMPORTED SCHNAPPS,169243
American Cordials & Liqueur,162109
Imported Cordials & Liqueurs,159074
IMPORTED GRAPE BRANDIES,155688
American Dry Gins,146768
Mixto Tequila,146764
Imported Flavored Vodka,145602
Imported Brandies,141347
Cream Liqueurs,139302
MISC. AMERICAN CORDIALS & LIQUEURS,127044
PEPPERMINT SCHNAPPS,120504
Scotch Whiskies,118064
IMPORTED DRY GINS,113313
Imported Schnapps,106959
100 PROOF VODKA,99124
IRISH WHISKIES,88389
SINGLE MALT SCOTCH,82675
Irish Whiskies,80088
COFFEE LIQUEURS,75505
Imported Dry Gins,73344
PEACH SCHNAPPS,63400
DISTILLED SPIRITS SPECIALTY,60228
STRAIGHT RYE WHISKIES,59869
BLACKBERRY BRANDIES,59714
Single Malt Scotch,58087
Temporary & Specialty Packages,56657
AMERICAN AMARETTO,53417
TRIPLE SEC,48609
Gold Rum,46386
Coffee Liqueurs,44154
Straight Rye Whiskies,41168
DECANTERS & SPECIALTY PACKAGES,40551
APRICOT BRANDIES,38509
CINNAMON SCHNAPPS,34235
BUTTERSCOTCH SCHNAPPS,33865
APPLE SCHNAPPS,33099
MISCELLANEOUS SCHNAPPS,32375
Triple Sec,26725
AMERICAN ALCOHOL,24351
Aged Dark Rum,18195
WATERMELON SCHNAPPS,17844
JAMAICA RUM,15288
PEACH BRANDIES,15070
Neutral Grain Spirits,14468
ROOT BEER SCHNAPPS,13615
Special Order Items,13495
CHERRY BRANDIES,13216
RASPBERRY SCHNAPPS,13207
GRAPE SCHNAPPS,13044
IMPORTED AMARETTO,12789
FLAVORED GINS,12010
STRAWBERRY SCHNAPPS,11853
TROPICAL FRUIT SCHNAPPS,10644
Neutral Grain Spirits Flavored,10472
BARBADOS RUM,9909
SINGLE BARREL BOURBON WHISKIES,9268
Single Barrel Bourbon Whiskies,8995
GREEN CREME DE MENTHE,8961
American Distilled Spirit Specialty,8932
Imported Distilled Spirit Specialty,7961
WHITE CREME DE CACAO,7213
AMERICAN SLOE GINS,7002
DARK CREME DE CACAO,6591
BOTTLED IN BOND BOURBON,6417
Corn Whiskies,5393
Flavored Gin,5352
American Vodka,4953
MISCELLANEOUS  BRANDIES,4214
Bottled in Bond Bourbon,3931
OTHER PROOF VODKA,3398
SPEARMINT SCHNAPPS,2928
Iowa Distilleries,2855
Mezcal,2678
ROCK & RYE,2660
WHITE CREME DE MENTHE,2459
American Sloe Gins,2172
CREME DE ALMOND,1631
LOW PROOF VODKA,1565
American Cordials & Liqueurs,1517
Imported Vodka,1493
ANISETTE,1441
Cocktails / RTD,886
CORN WHISKIES,752
JAPANESE WHISKY,286
Imported Cordials & Liqueur,282
American Distilled Spirits Specialty,194
AMARETTO - IMPORTED,102
Imported Distilled Spirits Specialty,81
Iowa Distillery Whiskies,72
Delisted Items,63
Holiday VAP,48
HIGH PROOF BEER - AMERICAN,32
SCHNAPPS - IMPORTED,17
IMPORTED VODKA - CHERRY,14
Temporary &  Specialty Packages,1
